reviewText,reviewDate,authorName
poor packing slow delivwry 1 pecs arrive in damage. chat responve is 0. not good seller.,24 Nov 2024,DipendraVerified Purchase
"yesto 3rd class purai glue tasseko xa, kherai gayo, worst experience ğŸ¤®ğŸ¤¬",25 Nov 2024,B***.Verified Purchase
nice serving and helping with best delivery,3 days ago,Ramkrishna T.Verified Purchase
Good,10 May 2024,R***nVerified Purchase
"1, fast delivery in the same day
2, Resonabme Price
3, High quality Product
4, Exat size and quantity",10 Jul 2023,Kishor K.Verified Purchase
"1, fast delivery in the same day
2, Resonabme Price
3, High quality Product
4, Exat size and quantity",10 Jul 2023,Kishor K.Verified Purchase
"k khalko ho sabai aafai aafai tassera baseko xa, 1 pkt ma 4-5 ota ta khera nai gayo, worst experience everğŸ˜¡ğŸ˜¡ ",25 Nov 2024,Bijuli P.Verified Purchase
"10Ã— 8 magayesi 10Ã—8 nai pathauna sakinnah ho?? 
Tme haru le chai j saman pathayene hune hamlai chai fine lagneğŸ˜‘ ",14 Nov 2024,P***.Verified Purchase
"k taal ko quality ho daraz ko chai, seller lai fine lagaune commission increase garne, aafno quality chai maintain garnu pardaina?? ",25 Nov 2024,Bijuli P.Verified Purchase
bekar quality x plastic ko ..aani fatako nai kati niskyo ....ğŸ˜¡ğŸ˜¡ ,17 Sep 2023,Pyaar K.Verified Purchase
instant delivery and delivery person is so kind ğŸ˜ ,27 Dec 2024,*******722Verified Purchase
nice flyers but their quality should be change ,3 weeks ago,9***1Verified Purchase
Good and understanding driver ,22 Nov 2024,AkritiVerified Purchase
Itâ€™s great timing  ,3 weeks ago,D***.Verified Purchase
"As shown.  Good
 ",2 weeks ago,somesh A.Verified Purchase
slow delivery  ,01 Dec 2024,sonu K.Verified Purchase
Good quality  ,15 Dec 2024,Must H.Verified Purchase
"nic product
 ",1 day ago,aayu S.Verified Purchase
"Execellent
 ",2 weeks ago,somesh A.Verified Purchase
Great  ,3 weeks ago,DIPENDRA B.Verified Purchase
ok ,2 weeks ago,SaveVerified Purchase
good  ,09 Dec 2024,Santosh K.Verified Purchase
good ,11 Dec 2024,cpl R.Verified Purchase
good  ,09 Dec 2024,Santosh K.Verified Purchase
abcd ,23 Nov 2024,********02Verified Purchase
awesome ,27 Oct 2024,Bishnu C.Verified Purchase
good ,17 Dec 2024,A***.Verified Purchase
nice  ,11 Sep 2024,Digital G.Verified Purchase
Packaging material rate badi vayo ,16 Jul 2024,Rekha T.Verified Purchase
ekdam ramro lagyoğŸ˜ğŸ˜ ,28 Jul 2024,*******395Verified Purchase
They sent us damaged packing material. Had ordered (25*4) 100 pieces of these in which none of these have glue in these circled areas. We are now forced to use external tape to seal our orders. What a waste of time and money. Will never buy from here again. DARAZ SHOULD BOYCOTT SUCH SCAMMERS.,01 Feb 2024,Looga W.Verified Purchase
Good Quality  ,18 Aug 2024,Ravi S.Verified Purchase
good  ,26 Jul 2024,Santosh K.Verified Purchase
Good ,23 Jul 2024,Mettle 2.Verified Purchase
Nice quality ,14 Jul 2024,Dipesh C.Verified Purchase
Nice quality ,14 Jul 2024,Dipesh C.Verified Purchase
nice,09 Jul 2024,Santosh K.Verified Purchase
Good delivery service ,30 May 2024,*******395Verified Purchase
reasonable ,10 May 2024,********46Verified Purchase
thikai chha but sometimes 25 ko satta 22 ayera chai hairan vaincha. check garirakhnu parchha,11 Jun 2023,J.S. T.Verified Purchase
"Got in The time
all Flyers are in good condition,
The quantity and qulaity is perfect.",27 Jul 2023,Kishor K.Verified Purchase
expensive 1 flyers cost 4.8 rupees,10 Jan 2024,aayu S.Verified Purchase
good ,01 Mar 2024,THE F.Verified Purchase
"not a single defected piece. good
#review_wrapup",13 Dec 2023,9***5Verified Purchase
"not a single defected piece. good
#review_wrapup",13 Dec 2023,9***5Verified Purchase
"not a single defected piece. good
#review_wrapup",13 Dec 2023,9***5Verified Purchase
"not a single defected piece. good
#review_wrapup",13 Dec 2023,9***5Verified Purchase
Good,16 Feb 2024,Ram P.Verified Purchase
Nice but I think it is little bit overpriced.,02 Dec 2023,Gaurav P.Verified Purchase
Good,20 Feb 2023,9***2Verified Purchase
excellent ğŸ‘ğŸ‘ğŸ‘ğŸ‘,08 Feb 2024,Bhim P.Verified Purchase
good,19 Jan 2024,********02Verified Purchase
Same as shown and great service. ,15 Nov 2023,C***.Verified Purchase
"thikai xa 
#review wrapup ",11 Dec 2023,à¤°à¤¾à¤œà¤¨ à¤®.Verified Purchase
"good
#review_wrapup",07 Dec 2023,AayushVerified Purchase
"good
#review_wrapup",07 Dec 2023,AayushVerified Purchase
must maintain the product quality ,05 Nov 2023,S***.Verified Purchase
"very fast delivery 
 thank you so much ",03 Oct 2023,*******395Verified Purchase
"very good  quality, fast delivery, reasonable price",22 May 2023,Kishor K.Verified Purchase
"very Fast shipping, good quality and resonable price.",04 Apr 2023,Kishor K.Verified Purchase
"very Fast shipping, good quality and resonable price.",04 Apr 2023,Kishor K.Verified Purchase
good,11 Dec 2023,RB S.Verified Purchase
Express delivery Thanks a lot ğŸ˜ŠğŸ˜Š,11 Oct 2023,EarbudsVerified Purchase
125 pcs and every single piece is damaged ,14 Sep 2023,sushil T.Verified Purchase
Good ,01 Dec 2023,****5Verified Purchase
"Ekdamai Low quality ko pathayeko cha . Haina Daraz kina chup lagera basiraheko cha yesto low quality ko saman pathaune seller lai kina action lidaina ?
please Daraz paisa tirepachi ramro saman pathuna vannu. ",22 Dec 2024,Biraj P.Verified Purchase
It is request to all the sellers to carefully check your packaging material after you receive them. Ordered 10x12 but sent me 12x16 instead. ,14 Mar 2023,Everest T.Verified Purchase
Lower quality of materials and also received 5 pcs less. Please refund remaining amount or send 5 missing pcs.,07 Feb 2023,Shivashakti E.Verified Purchase
"Too expensive in every aspect for seller. packing material becomes double expensive, commission are high for sellers. Disappointed Not happy working with darazâ˜¹ï¸â˜¹ï¸ğŸ˜©",31 Jan 2023,Rahul A.Verified Purchase
low quality customer Is complaining to us about our packaging please change the material taking high rate and giving low quality is it fair ,20 Feb 2023,9***1Verified Purchase
twpai haru ko price magago vayo . packing mahago vayepaxi saman ko ni vau badaunu paryo ani kasai garne byapar chai hajur ,19 Jan 2023,Dipesh N.Verified Purchase
they send me less than I order ,16 Sep 2023,Nishant B.Verified Purchase
thanks ğŸ˜Š ,06 Nov 2023,*******395Verified Purchase
good job,02 Nov 2023,9***9Verified Purchase
good job,02 Nov 2023,9***9Verified Purchase
